Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,All_Star
296,Nick Lodolo*,27,CIN,NL,4.9,9,8,0.529,3.33,29,28,0,2,1,0,156.2,138,60,58,22,31,1,156,13,1,2,642,137,3.81,1.079,7.9,1.3,1.8,9,5.03,No
297,Eduardo Rodr�guez*,32,ARI,NL,0.2,9,9,0.5,5.02,29,29,0,0,0,0,154.1,178,94,86,25,60,2,143,1,1,4,694,86,4.57,1.542,10.4,1.5,3.5,8.3,2.38,No
298,Justin Verlander,42,SFG,NL,1.2,4,11,0.267,3.85,29,29,0,0,0,0,152,155,74,65,16,52,1,137,6,0,2,662,103,3.85,1.362,9.2,0.9,3.1,8.1,2.63,No
299,Jack Leiter,25,TEX,AL,0.4,10,10,0.5,3.86,29,29,0,0,0,0,151.2,127,69,65,18,67,0,148,5,1,10,646,95,4.15,1.279,7.5,1.1,4,8.8,2.21,No
300,Matthew Liberatore*,25,STL,NL,0.9,8,12,0.4,4.21,29,29,0,0,0,0,151.2,158,79,71,19,40,0,122,4,0,6,648,97,4.03,1.305,9.4,1.1,2.4,7.2,3.05,No
302,Mason Englert,25,TBR,AL,0.3,0,1,0,3.83,29,0,9,0,0,0,44.2,43,20,19,4,11,0,44,1,0,2,185,108,3.14,1.209,8.7,0.8,2.2,8.9,4,No
303,Rico Garcia,31,3TM,2LG,0.8,0,2,0,3.15,29,1,7,0,0,0,34.1,31,12,12,5,10,1,38,0,0,2,142,132,3.69,1.194,8.1,1.3,2.6,10,3.8,No
304,Alek Jacob,27,SDP,NL,-0.2,1,0,1,5.13,29,0,9,0,0,0,33.1,36,20,19,6,14,0,23,6,0,0,153,84,5.9,1.5,9.7,1.6,3.8,6.2,1.64,No
305,Jos� Castillo*,29,4TM,2LG,0.2,2,2,0.5,3.94,29,0,6,0,0,0,32,40,18,14,4,14,1,30,4,3,1,149,108,4.57,1.688,11.3,1.1,3.9,8.4,2.14,No
306,Kevin Ginkel,31,ARI,NL,-0.8,1,4,0.2,7.36,29,0,9,0,0,3,25.2,29,22,21,2,13,0,29,2,0,1,121,59,3.64,1.636,10.2,0.7,4.6,10.2,2.23,No
307,Bryce Elder,26,ATL,NL,-0.4,8,11,0.421,5.3,28,28,0,0,0,0,156.1,167,95,92,24,51,1,131,6,0,2,679,78,4.55,1.394,9.6,1.4,2.9,7.5,2.57,No
309,Sean Burke,25,CHW,AL,0.9,4,11,0.267,4.29,28,22,0,0,0,0,134.1,132,76,64,23,63,0,133,6,0,2,596,98,4.92,1.452,8.8,1.5,4.2,8.9,2.11,No
310,Randy V�squez,26,SDP,NL,2.2,6,7,0.462,3.84,28,26,1,0,0,0,133.2,125,59,57,16,52,1,78,7,1,3,570,111,4.85,1.324,8.4,1.1,3.5,5.3,1.5,No
311,Eric Lauer*,30,TOR,AL,2.2,9,2,0.818,3.18,28,15,2,0,0,0,104.2,90,39,37,15,26,1,102,2,0,0,426,134,3.85,1.108,7.7,1.3,2.2,8.8,3.92,No
312,Zack Kelly,30,BOS,AL,-0.2,1,3,0.25,4.58,28,0,5,0,0,0,35.1,35,21,18,3,12,1,35,3,0,1,152,90,3.53,1.33,8.9,0.8,3.1,8.9,2.92,No
313,Dylan Dodd*,27,ATL,NL,0.3,1,0,1,3.6,28,0,12,0,0,0,35,28,14,14,5,5,0,30,1,0,1,136,116,3.79,0.943,7.2,1.3,1.3,7.7,6,No
314,Jaden Hill,25,COL,NL,0.5,1,1,0.5,3.38,28,0,7,0,0,0,29.1,27,14,11,2,12,0,31,3,0,3,129,145,3.44,1.33,8.3,0.6,3.7,9.5,2.58,No
315,Dan Altavilla,32,CHW,AL,0.8,0,1,0,2.48,28,0,13,0,0,2,29,19,9,8,4,15,0,21,4,0,1,120,170,5.45,1.172,5.9,1.2,4.7,6.5,1.4,No
316,Andrew Saalfrank*,27,ARI,NL,1.6,2,1,0.667,1.24,28,0,10,0,0,3,29,19,5,4,1,10,1,19,0,0,2,113,351,3.31,1,5.9,0.3,3.1,5.9,1.9,No
317,Jos� Alvarado*,30,PHI,NL,0.4,4,2,0.667,3.81,28,0,10,0,0,7,26,27,12,11,4,7,0,32,1,0,3,114,117,3.6,1.308,9.3,1.4,2.4,11.1,4.57,No
318,Ryan Brasier,37,CHC,NL,-0.2,0,1,0,4.5,28,1,4,0,0,0,26,27,13,13,2,5,0,20,0,0,0,105,87,3.17,1.231,9.3,0.7,1.7,6.9,4,No
319,PJ Poulin*,28,WSN,NL,0.4,2,1,0.667,3.65,28,0,6,0,0,1,24.2,23,10,10,2,13,0,27,2,0,0,110,114,3.83,1.459,8.4,0.7,4.7,9.9,2.08,No
320,Bailey Ober,29,MIN,AL,1.1,6,9,0.4,5.1,27,27,0,1,0,0,146.1,159,84,83,30,31,0,120,5,2,1,624,84,4.9,1.298,9.8,1.8,1.9,7.4,3.87,No
321,Taj Bradley,24,2TM,AL,-0.6,6,8,0.429,5.05,27,27,0,0,0,0,142.2,131,88,80,19,56,0,127,4,1,7,605,82,4.35,1.311,8.3,1.2,3.5,8,2.27,No
322,Michael Lorenzen,33,KCR,AL,0.4,7,11,0.389,4.64,27,26,0,0,0,0,141.2,149,76,73,25,39,0,127,6,0,12,606,89,4.59,1.327,9.5,1.6,2.5,8.1,3.26,No
323,JP Sears*,29,2TM,2LG,0.8,9,11,0.45,5.04,27,27,0,0,0,0,135.2,143,79,76,30,36,0,117,6,0,1,583,84,5.21,1.319,9.5,2,2.4,7.8,3.25,No
324,Andrew Heaney*,34,2TM,NL,-0.3,5,10,0.333,5.52,27,23,0,0,0,0,122.1,129,77,75,25,40,0,86,9,0,2,536,78,5.59,1.381,9.5,1.8,2.9,6.3,2.15,No
325,Chad Patrick,26,MIL,NL,1.9,3,8,0.273,3.53,27,23,0,0,0,0,119.2,113,49,47,13,40,1,127,4,0,1,503,117,3.53,1.279,8.5,1,3,9.6,3.18,No
326,Ryan Gusto,26,2TM,2LG,-0.4,7,7,0.5,5.67,27,17,2,0,0,0,101.2,114,67,64,17,36,0,97,5,0,0,453,75,4.61,1.475,10.1,1.5,3.2,8.6,2.69,No
327,Nic Enright,28,CLE,AL,1,2,1,0.667,2.03,27,0,8,0,0,1,31,24,8,7,3,12,0,30,2,1,0,127,208,3.81,1.161,7,0.9,3.5,8.7,2.5,No
328,T.J. McFarland*,36,ATH,AL,-0.3,0,0,,6.89,27,0,5,0,0,0,15.2,26,12,12,2,3,0,7,1,0,1,74,62,4.67,1.851,14.9,1.1,1.7,4,2.33,No
329,Ranger Su�rez*,29,PHI,NL,4.7,12,8,0.6,3.2,26,26,0,0,0,0,157.1,154,57,56,14,38,0,151,6,0,0,651,137,3.21,1.22,8.8,0.8,2.2,8.6,3.97,No
330,Seth Lugo,35,KCR,AL,1.7,8,7,0.533,4.15,26,26,0,0,0,0,145.1,133,70,67,27,55,1,125,6,0,5,611,99,5.09,1.294,8.2,1.7,3.4,7.7,2.27,No
331,Lucas Giolito,30,BOS,AL,2.1,10,4,0.714,3.41,26,26,0,0,0,0,145,131,62,55,17,56,0,121,1,0,4,613,120,4.17,1.29,8.1,1.1,3.5,7.5,2.16,No
332,Davis Martin,28,CHW,AL,1.5,7,10,0.412,4.1,26,25,0,0,0,0,142.2,136,74,65,20,48,1,104,6,2,2,601,102,4.64,1.29,8.6,1.3,3,6.6,2.17,No
333,Edward Cabrera,27,MIA,NL,2.8,8,7,0.533,3.53,26,26,0,0,0,0,137.2,121,60,54,17,48,0,150,10,0,8,581,125,3.83,1.228,7.9,1.1,3.1,9.8,3.13,No
334,Tyler Anderson*,35,LAA,AL,2,2,8,0.2,4.56,26,26,0,0,0,0,136.1,135,73,69,28,57,4,104,3,3,5,599,94,5.6,1.408,8.9,1.8,3.8,6.9,1.82,No
335,Germ�n M�rquez,30,COL,NL,-1.2,3,16,0.158,6.7,26,26,0,0,0,0,126.1,168,106,94,23,48,1,83,6,0,6,591,73,5.47,1.71,12,1.6,3.4,5.9,1.73,No
336,Walker Buehler,30,2TM,2LG,0,10,7,0.588,4.93,26,24,1,0,0,0,126,130,73,69,22,61,0,92,11,0,0,565,84,5.66,1.516,9.3,1.6,4.4,6.6,1.51,No
337,Bailey Falter*,28,2TM,2LG,0.8,7,7,0.5,4.45,26,24,1,0,0,0,125.1,115,68,62,19,46,0,81,1,0,5,518,96,4.94,1.285,8.3,1.4,3.3,5.8,1.76,No
338,Cal Quantrill,30,2TM,NL,-0.6,4,12,0.25,6.04,26,26,0,0,0,0,117.2,136,81,79,22,35,0,85,5,0,3,513,73,5.14,1.453,10.4,1.7,2.7,6.5,2.43,No
339,Osvaldo Bido,29,ATH,AL,-0.7,2,5,0.286,5.87,26,10,7,0,0,1,79.2,93,56,52,19,35,1,68,6,0,0,363,71,6.07,1.607,10.5,2.1,4,7.7,1.94,No
340,Braxton Ashcraft,25,PIT,NL,2,4,4,0.5,2.71,26,8,6,0,0,0,69.2,63,22,21,3,24,1,71,2,0,1,292,158,2.78,1.249,8.1,0.4,3.1,9.2,2.96,No
341,Scott Blewett,29,3TM,2LG,-0.2,3,0,1,5.48,26,2,10,0,0,0,44.1,45,29,27,9,18,0,35,1,0,1,194,76,5.48,1.421,9.1,1.8,3.7,7.1,1.94,No
342,Gordon Graceffo,25,STL,NL,-0.8,3,1,0.75,6.28,26,0,9,0,0,1,43,50,33,30,2,13,0,40,2,0,2,193,66,2.93,1.465,10.5,0.4,2.7,8.4,3.08,No
343,Clayton Beeter,26,2TM,2LG,0.3,0,3,0,4.26,26,0,4,0,0,1,25.1,13,12,12,3,18,0,33,0,0,1,104,99,4.2,1.224,4.6,1.1,6.4,11.7,1.83,No
344,Anthony Veneziano*,27,2TM,NL,0.1,0,0,,4.68,26,1,3,0,0,0,25,28,13,13,4,11,0,25,2,0,1,117,95,4.78,1.56,10.1,1.4,4,9,2.27,No
345,Jorge L�pez,32,WSN,NL,-0.5,6,0,1,6.57,26,0,5,0,0,1,24.2,25,18,18,1,7,0,17,3,0,3,106,63,3.5,1.297,9.1,0.4,2.6,6.2,2.43,No
346,Zach Brzykcy,25,WSN,NL,-0.6,0,1,0,9,26,0,11,0,0,0,23,28,23,23,6,12,0,24,2,0,2,110,46,6.27,1.739,11,2.3,4.7,9.4,2,No
347,Rob Zastryzny*,33,MIL,NL,0.5,2,1,0.667,2.45,26,1,4,0,0,0,22,16,7,6,3,10,3,20,1,0,2,93,171,4.59,1.182,6.5,1.2,4.1,8.2,2,No
348,Shota Imanaga*,31,CHC,NL,1.5,9,8,0.529,3.73,25,25,0,0,0,0,144.2,117,62,60,31,26,0,117,1,0,1,567,103,4.86,0.988,7.3,1.9,1.6,7.3,4.5,No
349,Dustin May,27,2TM,2LG,-0.6,7,11,0.389,4.96,25,23,1,0,0,0,132.1,132,78,73,21,56,3,123,12,0,1,584,84,4.88,1.421,9,1.4,3.8,8.4,2.2,No
350,Logan Gilbert,28,SEA,AL,2.1,6,6,0.5,3.44,25,25,0,0,0,0,131,104,53,50,20,31,0,173,7,0,10,535,110,3.35,1.031,7.1,1.4,2.1,11.9,5.58,No
351,Ben Brown,25,CHC,NL,-1.6,5,8,0.385,5.92,25,15,3,0,0,1,106.1,121,73,70,18,32,0,121,4,0,5,472,65,4.08,1.439,10.2,1.5,2.7,10.2,3.78,No
352,Caleb Boushley,31,TEX,AL,-1,0,0,,6.02,25,1,13,0,0,1,43.1,54,33,29,5,14,1,41,2,0,1,193,61,3.85,1.569,11.2,1,2.9,8.5,2.93,No
353,Yerry De los Santos,27,NYY,AL,0.3,0,1,0,3.28,25,0,5,0,0,0,35.2,37,15,13,1,17,0,28,1,0,2,160,125,3.44,1.514,9.3,0.3,4.3,7.1,1.65,No
354,Kade Strowd,27,BAL,AL,0.9,0,1,0,1.71,25,0,6,0,0,0,26.1,16,6,5,1,13,0,24,1,0,2,105,238,3.4,1.101,5.5,0.3,4.4,8.2,1.85,No
355,Ian Gibaut,31,CIN,NL,0.2,0,1,0,4.62,25,0,5,0,0,0,25.1,26,13,13,3,8,0,15,0,0,0,109,100,4.44,1.342,9.2,1.1,2.8,5.3,1.88,No
357,Noah Cameron*,25,KCR,AL,3.8,9,7,0.563,2.99,24,24,0,0,0,0,138.1,109,46,46,18,43,1,114,3,0,3,556,137,4.18,1.099,7.1,1.2,2.8,7.4,2.65,No
358,Jose Quintana*,36,MIL,NL,1.4,11,7,0.611,3.96,24,24,0,0,0,0,131.2,120,65,58,18,50,0,89,5,1,1,556,105,4.81,1.291,8.2,1.2,3.4,6.1,1.78,No
359,Justin Wrobleski*,24,LAD,NL,0,5,5,0.5,4.32,24,2,9,0,0,2,66.2,65,34,32,6,17,1,76,3,0,1,280,96,2.93,1.23,8.8,0.8,2.3,10.3,4.47,No
360,Dietrich Enns*,34,2TM,AL,0.4,3,3,0.5,4.08,24,3,5,0,0,2,46.1,50,25,21,6,15,4,49,0,0,1,200,101,3.68,1.403,9.7,1.2,2.9,9.5,3.27,No
361,Max Kranick,27,NYM,NL,0.4,3,2,0.6,3.65,24,0,6,0,0,0,37,34,15,15,5,5,0,25,0,0,0,148,111,3.95,1.054,8.3,1.2,1.2,6.1,5,No
362,George Soriano,26,MIA,NL,-1,2,0,1,8.35,24,0,12,0,0,1,36.2,46,36,34,10,19,1,36,2,1,3,173,53,6.44,1.773,11.3,2.5,4.7,8.8,1.89,No
363,Yohan Ram�rez,30,PIT,NL,-0.6,3,3,0.5,5.4,24,0,5,0,0,0,33.1,33,25,20,4,16,1,45,4,0,4,155,80,3.8,1.47,8.9,1.1,4.3,12.2,2.81,No
364,Tayler Scott,33,2TM,2LG,-1,1,2,0.333,7.9,24,0,4,0,0,0,27.1,34,25,24,6,18,0,24,1,0,0,134,55,6.32,1.902,11.2,2,5.9,7.9,1.33,No
